GBR_NAME,LABEL_ID,X_COORD,Y_COORD
U/N Cay,14-118a,145.3757782,-14.70878601
U/N Cay,14-118b,145.3727417,-14.71327591
U/N Cay,14-118c,145.36929321,-14.71843338
U/N Cay,14-118d,145.3662262,-14.72235489
Turtle Reef (North),14-119a,145.16590881,-14.71613312
Turtle Reef (South),14-119b,145.16101074,-14.72149372
Turtle Group Reef (No 1),14-120a,145.1870575,-14.73452568
Lark Reef,15-033,145.5735321,-15.28826046
U/N Reef,15-034,145.76364136,-15.31300926
U/N Reef,15-035,145.63916016,-15.31890678
U/N Reef,15-036,145.64729309,-15.33087254
U/N Reef,15-037,145.75227356,-15.33505726
Ribbon No 5 Reef,15-038,145.78292847,-15.36378002
Simpson Rock,13-106,143.77145386,-13.90829372
Pelican Island Reef,13-107,143.84161377,-13.91487694
Hedge Reef,13-108,143.95117188,-13.90026379
U/N Cay,13-108a,143.879776,-13.95032024
U/N Cay,13-108b,143.89657593,-13.94462872
South Warden Reef,14-051,144.73968506,-14.23914433
Unison Reef,14-052,144.68772888,-14.29763222
U/N Cay,14-053,144.77931213,-14.31608772
U/N Reef,14-053,144.79040527,-14.30921268
Stapleton Reef,14-054,144.85919189,-14.32140255
Turtle Group Reef (No 2),14-120b,145.1991272,-14.73466969
Turtle Group Reef (No 3),14-120c,145.17935181,-14.72984409
Turtle Group Reef (No 4),14-120d,145.19801331,-14.72135258
Turtle Group Reef (No 5),14-120e,145.20419312,-14.70484257
Turtle Group Reef (No 6),14-120f,145.19319153,-14.71372223
Turtle Group Reef (No 7),14-120g,145.18951416,-14.72822189
Williamson Reefs,15-039,145.58148193,-15.35902119
U/N Reef,15-040,145.76622009,-15.38854599
U/N Reef,15-041,145.7660675,-15.39985847
U/N Reef,15-042,145.77189636,-15.41005898
U/N Reef,15-043,145.50831604,-15.42865181
U/N Reef,15-044,145.61341858,-15.42838383
U/N Cay,13-108c,143.90739441,-13.94768524
U/N Reef,13-109,143.8157196,-13.96458149
U/N Reef,13-110,143.61485291,-13.92627907
Burkitt Reef,13-111,143.75439453,-13.94378567
U/N Reef,13-112,143.6477356,-13.94903564
Iris Reef,13-113,143.84162903,-13.96045017
Obree Reef,13-114,143.68238831,-13.97581577
U/N Rock,13-115,143.70697021,-13.98746204
Munro Reef,14-055,144.74142456,-14.31907654
U/N Cay,14-056,144.95550537,-14.31954193
U/N Reef,14-056,144.95561218,-14.32808208
Davy Patches (No 1),14-057a,144.71818542,-14.32648373
Davy Patches (No 2),14-057b,144.70785522,-14.33612728
Davy Patches (No 3),14-057c,144.72001648,-14.34114552
U/N Reef,14-058,144.59544373,-14.334939
U/N Reef,14-059,144.58668518,-14.32317448
Barrow Reef,14-060,144.65068054,-14.34283352
Turtle Group Reef (No 8),14-120h,145.18469238,-14.71768856
Turtle Group Reef (No 9),14-120j,145.20838928,-14.74336147
Crompton Shoals,14-121,145.27624512,-14.71804142
Pethebridge Islets Reef (East),14-122a,145.10093689,-14.73142147
Pethebridge Islets Reef (West),14-122b,145.08262634,-14.7362051
Martin Reef,14-123,145.35552979,-14.76314163
U/N Cay,14-123a,145.33738708,-14.75522614
U/N Cay,14-123b,145.34619141,-14.75449657
U/N Reef,15-045,145.65852356,-15.43023682
Ribbon No 4 Reef,15-046,145.8008728,-15.43488216
U/N Reef,15-047,145.67703247,-15.46156597
U/N Reef,15-048,145.65489197,-15.48405933
U/N Reef,15-049,145.50273132,-15.48573685
Ribbon No 3 Reef,15-050,145.80554199,-15.48834705
U/N Cay,15-051,145.32447815,-15.5021534
U/N Reef,13-116,144.08969116,-13.54211235
U/N Reef,13-117a,144.09919739,-13.59171677
U/N Reef,13-117b,144.09568787,-13.60047626
Sand Bank No 6,13-118,144.1000061,-13.62418175
Creech Reef (North),13-118a,144.10391235,-13.62558937
Creech Reef (South),13-118b,144.10731506,-13.64566326
Switzer Reef,14-061,144.75698853,-14.36003113
U/N Reef,14-062,144.96131897,-14.37524891
Combe Reef,14-063,144.9510498,-14.41412067
U/N Cay,14-123c,145.35241699,-14.75528049
U/N Cay,14-123d,145.35887146,-14.7562027
U/N Reef,14-124,145.08682251,-14.78017616
Maxwell Reef,14-125,145.31558228,-14.78671837
U/N Cay,14-126,145.34007263,-14.77963543
Linnet Reef,14-126,145.34443665,-14.78665161
U/N Reef,14-127a,145.14009094,-14.78806591
U/N Reef,14-127b,145.13586426,-14.79833221
Sim Reef,14-128,145.28337097,-14.81706524
U/N Reef,14-129a,145.18156433,-14.81616306
U/N Reef,14-129b,145.18943787,-14.82247162
Four Foot Rock,14-130,145.26086426,-14.85079002
Dawson Reef,15-051,145.32821655,-15.50472927
U/N Cay,15-052,145.35101318,-15.52982044
Cowlishaw Reef,15-052,145.35255432,-15.53471947
Draper Patch,15-053,145.30262756,-15.54612827
Rocky Island Reef,15-054,145.32945251,-15.60156059
U/N Reef,15-055,145.31910706,-15.61271095
Malcolm Patch,15-056,145.44831848,-15.62467194
Bee Reef,15-057,145.42962646,-15.64048386
U/N Reef,15-058,145.31869507,-15.64445114
U/N Reef,15-059a,145.35350037,-15.70535374
U/N Reef,13-119,144.1660614,-13.67631626
Sand Bank No 5,13-120,144.21368408,-13.71578884
Sand Bank No 5 Reef,13-120,144.23735046,-13.73683643
U/N Cay,13-121,144.2671814,-13.77313232
U/N Reef,13-121,144.26705933,-13.78010464
U/N Cay,13-122,144.0266571,-13.86252117
Ingram-Beanley Reef,14-064,144.88970947,-14.42552853
Bewick Reef,14-065,144.81156921,-14.43275642
Decapolis Reef,14-131,145.27287292,-14.85046291
Rocky Islets Reef,14-132a,145.47993469,-14.85496998
U/N Reef,14-132b,145.52761841,-14.8655138
U/N Reef,14-132c,145.48886108,-14.86948586
U/N Reef,14-133,145.51600647,-14.91681099
Eye Reef,14-134,145.47799683,-14.89468002
U/N Reef,13-042,143.53135681,-13.31596184
U/N Reef,13-043,143.53918457,-13.28244972
Norman Rock,13-044,143.59234619,-13.27999115
Lowrie Reef,13-045,143.5960083,-13.27562618
Chilcott Rock,13-046,143.61778259,-13.28128719
Howard Rock,13-047,143.62945557,-13.28857994
Bow Cay,13-048,143.67399597,-13.30216026
Bow Reef,13-048,143.67321777,-13.30812263
U/N Reef,13-049,143.88995361,-13.31755543
U/N Reef,13-122,144.02783203,-13.85837936
U/N Reef,13-123,144.13525391,-13.85580158
U/N Reef,13-124,144.07878113,-13.85309219
U/N Reef,13-125,144.31129456,-13.86553955
Mid Reef,14-066,144.95834351,-14.45742226
U/N Reef,14-067,144.62971497,-14.45157242
Watson Reef,14-068,144.89328003,-14.46287346
Wooden Patch,14-069,144.75350952,-14.47551155
Baron Reef,14-070,144.69804382,-14.47436333
Helsdon Reef,14-135,145.48800659,-14.93945408
U/N Reef,14-136a,145.33810425,-14.94181156
U/N Reef,14-136b,145.33415222,-14.9484272
Carter Reef,14-137,145.58898926,-14.54767418
Yonge Reef,14-138,145.62347412,-14.59968185
No Name Reef,14-139,145.64628601,-14.64376545
U/N Reef,14-140,145.65019226,-14.66489029
U/N Reef,13-050a,143.97337341,-13.32482433
U/N Reef,13-050b,143.95091248,-13.3081255
U/N Reef,13-051,143.55728149,-13.33007431
U/N Reef,13-052,143.72439575,-13.32792473
Treat Reef,13-053,143.60075378,-13.32652664
U/N Reef,13-054,143.57279968,-13.35158348
U/N Reef,13-126,144.06306458,-13.90872097
Rodda Reef,13-127,144.35662842,-13.92119122
Joan Reef,13-128,144.34959412,-13.94645691
Wilson Reef,13-129,144.40107727,-13.95244312
U/N Cay,13-130,144.44226074,-13.97603607
Davie Reef,13-130,144.45483398,-13.97737408
U/N Cay,13-131,144.57553101,-13.95867348
Eves Reef,13-131,144.5743866,-13.96196938
U/N Reef,13-132,144.55203247,-13.97590828
U/N Cay,13-133,144.50532532,-13.98027802
Weigall Reefs (East),14-071a,144.64302063,-14.47416687
Weigall Reefs (West),14-071b,144.63766479,-14.47897816
U/N Cay,14-072,144.95381165,-14.47728729
Megaera Reef,14-072,144.95802307,-14.4773941
U/N Reef,14-073,145.00259399,-14.23346233
U/N Reef,14-074,145.06777954,-14.26767063
U/N Reef,14-075,145.16496277,-14.28916931
U/N Reef,14-076,145.18202209,-14.31323624
U/N Reef,14-141,145.53881836,-14.70715809
U/N Reef,14-142,145.58253479,-14.73134422
North Direction Reef,14-143,145.51068115,-14.74591541
Kedge Reef,14-144,145.53094482,-14.78259373
U/N Cay,14-145,145.58380127,-14.77992439
U/N Reef,14-145,145.58654785,-14.78984928
Peter Reef,13-055,143.78071594,-13.33258152
Sand Bank No 8,13-056,143.95227051,-13.36625671
Sand Bank No 8 Reef,13-056,143.96214294,-13.36719513
Sharland Reefs (No 1),13-057a,143.59918213,-13.36875439
Sharland Reefs (No 2),13-057b,143.59742737,-13.38262463
U/N Reef,13-058a,143.61013794,-13.40095043
U/N Reef,13-058b,143.60488892,-13.40857983
Tydeman Reef,13-133,144.52000427,-13.98367882
U/N Reef,13-134,143.61839294,-13.51718235
U/N Reef,13-135,143.60432434,-13.5427599
U/N Reef,13-136,143.80595398,-13.460536
U/N Rock,13-136,143.59211731,-13.57334423
U/N Reef,13-137,144.11018372,-13.65716457
U/N Rock,13-137,143.59799194,-13.78376865
U/N Rock,13-138,143.56155396,-13.79267025
U/N Rock,13-139,143.6003418,-13.8186264
U/N Rock,13-140,143.61549377,-13.86467552
U/N Reef,14-001,143.68652344,-14.03008175
Beabey Patches,14-002,143.82217407,-14.01346874
U/N Reef,14-077a,145.23706055,-14.31356525
U/N Reef,14-077b,145.23510742,-14.32905102
U/N Reef,14-078,145.27752686,-14.34315395
Jewell Reef,14-079,145.35128784,-14.37976837
U/N Reef,14-080,145.01808167,-14.36433125
U/N Reef,14-081,145.03501892,-14.39865017
Ribbon No 10 Reef,14-146,145.69813538,-14.82720089
South Direction Reef (North),14-147a,145.52357483,-14.82437229
South Direction Reef (South),14-147b,145.52072144,-14.81170082
High Rock,14-148,145.55410767,-14.82383251
Ellis Reef,13-059,143.70544434,-13.38013554
U/N Cay,13-060,143.74794006,-13.38922787
Blanchard Reef,13-060,143.75065613,-13.41682148
Sand Bank No 7,13-061,143.97164917,-13.44072151
U/N Reef,13-061a,143.97453308,-13.39894772
U/N Reef,13-061b,143.97590637,-13.42455959
Grub Reef,14-003,143.98217773,-14.00527954
U/N Cay,14-003a,143.95118713,-14.01863766
U/N Cay,14-003b,144.00059509,-13.9747448
Keast Shoal,14-004,143.93527222,-14.05226326
Cameron Shoal,14-005,143.93186951,-14.05947208
Fahey Reef,14-006,143.8589325,-14.06368637
Taiwan Shoal,14-007,143.92588806,-14.06640339
Crescent Reef,14-082,145.08926392,-14.4156599
Parke Reef,14-083,145.32247925,-14.4195385
U/N Reef,14-084,145.04402161,-14.44357872
Hilder Reef,14-085,145.41036987,-14.44501114
U/N Reef,14-149,145.61833191,-14.84252357
U/N Cay,14-150,145.55914307,-14.87878323
U/N Reef,14-150,145.55728149,-14.88309574
No 10 Patches (No 1),14-151,145.69042969,-14.91990566
No 10 Patches (No 2),14-152,145.68173218,-14.93192387
No 10 Patches (No 3),14-153a,145.69018555,-14.95040894
No 10 Patches (No 4),14-153b,145.68621826,-14.96847725
Sand Bank No 7 Reef,13-061c,143.97851563,-13.43976307
Roskruge Reef,13-062,143.62867737,-13.41608715
U/N Reef,13-063,143.81530762,-13.42310429
North Khandalla Shoal,13-064,143.68893433,-13.42867851
Drake Shoal,13-065,143.70610046,-13.43428612
South Khandalla Shoal,13-066,143.69161987,-13.43684864
Claremont Rock,13-067,143.70864868,-13.50021648
Quake Reef,13-068,143.65106201,-13.45235825
Bell Bank (North),13-069,143.62536621,-13.45379353
Bell Bank (South),13-070,143.62139893,-13.46678734
Heath Reef,13-071,143.68113708,-13.47515297
Eden Reef,14-008,143.91389465,-14.07781029
Clark Shoal,14-009,143.93676758,-14.12939835
U/N Reef,14-010,143.70248413,-14.14096928
Olive Patch,14-011,143.93307495,-14.17860126
Cliff Islands Reef (West),14-012,143.7739563,-14.22058868
Cliff Islands Reef (East),14-013,143.79229736,-14.22569561
U/N Reef,14-014,143.730896,-14.25510216
June Reef,14-015,143.7796936,-14.28871727
Hicks Reef,14-086,145.4821167,-14.45256233
Snake Reef,14-087,145.02529907,-14.47311687
Waining Reef,14-088,145.22224426,-14.45621586
Day Reef,14-089,145.53677368,-14.49668884
Ribbon No 9 Reef,14-154,145.70335388,-14.99295044
U/N Reef,14-159a,144.70373535,-14.123209
U/N Reef,14-159b,144.69979858,-14.13428593
U/N Reef,14-160,144.85940552,-14.19372177
U/N Reef,14-161,143.92962646,-14.01922894
U/N Reef,14-162,144.71105957,-14.55679035
U/N Reef,14-163,145.45413208,-14.90861607
Ada Bank,15-001,145.46420288,-15.00384617
Morris Island Reef,13-072,143.73855591,-13.48629475
U/N Cay,13-072a,143.73678589,-13.47871494
U/N Cay,13-072b,143.73471069,-13.48730087
U/N Reef,13-073,143.99581909,-13.46698475
U/N Cay,13-074,144.03344727,-13.47880363
U/N Reef,13-074,144.05264282,-13.47808075
MacDonald Reef,13-075,143.65530396,-13.54245853
U/N Cay,13-076,143.737854,-13.55092239
Corbett Reef,14-016,144.11610413,-13.97915649
Clack Reef,14-017,144.24232483,-14.06813049
King Island Reef,14-018,144.32124329,-14.09972095
Aylen Patch,14-019,144.48490906,-14.1037178
Oswald Shoal,14-020,144.49787903,-14.10725403
Howick Reef,14-090,144.97001648,-14.50333881
U/N Rock,14-090,144.95648193,-14.50672054
Noble Reef,14-091,144.76498413,-14.5015974
U/N Rock,14-091,144.76306152,-14.50065613
Two Islands Reef,15-002,145.44151306,-15.02282429
Low Wooded Reef,15-003,145.37962341,-15.09353924
Murray Reefs (No  1),15-004a,145.26332092,-15.09548569
Murray Reefs (No  2),15-004b,145.26872253,-15.09468842
Murray Reefs (No  3),15-004c,145.2641449,-15.10084438
Ogilvie Reef,13-076,143.79095459,-13.52589226
U/N Cay,13-077,143.90682983,-13.49154186
U/N Reef,13-077,143.85205078,-13.55240631
Flinders Rock,14-021,144.23617554,-14.12135983
U/N Cay,14-022,143.99452209,-14.12837887
Wharton Reef,14-022,144.00228882,-14.12823677
Atkinson Reef,14-023,144.30235291,-14.12132931
Channel Rocks Reef,14-024,144.48410034,-14.14257717
Channel Rocks,14-024,144.48309326,-14.14027119
Boulder Rock Reef,14-025,144.4851532,-14.14838314
Boulder Rock,14-025a,144.4835968,-14.15084362
U/N Rock,14-025b,144.48646545,-14.1496973
Stanley Island Reef (No 1),14-026a,144.24606323,-14.14079285
Newton Reef,14-092,144.915802,-14.5055275
Sand Reef,14-093,144.84501648,-14.52162933
Houghton Reef,14-094,144.97320557,-14.52409172
Wilson Rock,14-095,144.95300293,-14.53104687
U/N Reef,14-096,144.85603333,-14.53952599
Coquet Reef,14-097,144.99267578,-14.53987789
Three Islands Reef,15-005,145.4223938,-15.11523628
Conical Rock Reef,15-006,145.31759644,-15.13833618
Conical Rock,15-006,145.32600403,-15.13905811
U/N Reef,15-007,145.24746704,-15.15592575
Beor Reef,15-008,145.26821899,-15.15889835
Forrester Reef,15-009,145.49612427,-15.16672802
U/N Reef,15-010,145.24674988,-15.17649174
Petty Patch,15-011,145.3425293,-15.21461678
U/N Reef,13-078,143.92167664,-13.64098835
U/N Cay,13-079a,143.77203369,-13.71102333
Noddy Reef (No 1),13-079a,143.7923584,-13.68203926
U/N Cay,13-079b,143.76046753,-13.73347759
Noddy Reef (No 2),13-079b,143.8249054,-13.6243248
Noddy Reef (No 3),13-079c,143.90786743,-13.6067009
Stanley Island Reef (No 2),14-026b,144.2540741,-14.15140057
Stanley Island Reef (No 3),14-026c,144.23217773,-14.16351414
Stanley Island Reef (No 4),14-026d,144.21936035,-14.17449474
Stanley Island Reef (No 5),14-026e,144.21647644,-14.16182899
Cape Rock,14-027,144.48706055,-14.16540241
U/N Reef,14-028,144.73506165,-14.17453384
MacLear Reef,14-029,144.24589539,-14.20897293
Sentry Rock,14-030,144.27357483,-14.20455551
Miles Reef (North),14-098a,144.92166138,-14.54079914
Miles Reef (South),14-098b,144.91864014,-14.54436874
Leggatt Reef,14-099,144.87019348,-14.54813004
U/N Reef,14-100,144.85015869,-14.55084801
Sinclair-Morris Reef,14-101,144.90519714,-14.55351067
Hampton Reef,14-102,144.88925171,-14.56277466
U/N Cay,14-103,144.92539978,-14.57167149
Beatrice Reef,14-103,144.92724609,-14.57393074
Boulder Reef,15-012,145.43144226,-15.41388798
Egret Reef,15-013,145.41749573,-15.47411537
Blackbird Patches (North),15-014a,145.28981018,-15.47772884
Blackbird Patches (South),15-014b,145.28871155,-15.48388767
Tilbrook Bank,15-015,145.51106262,-15.00606918
U/N Cay,15-016,145.56886292,-15.00397015
Gull Reef,15-016,145.56919861,-15.00490189
U/N Reef,15-017a,145.69593811,-15.03404808
U/N Reef,15-017b,145.70285034,-15.04533005
U/N Reef,15-017c,145.67945862,-15.0241518
U/N Cay,15-018,145.52906799,-15.0444088
U/N Reef,13-080,143.55670166,-13.63815117
Fife Reef,13-081,143.73074341,-13.65333939
U/N Rock,13-082,143.56748962,-13.66735363
Hay Island Reef,13-083,143.6907196,-13.6692791
U/N Reef,13-084,143.81729126,-13.70207787
Frenchman Reef,13-085,143.56437683,-13.72936916
Poulsen Reef,13-086,143.6388092,-13.73720264
U/N Cay,13-087,143.74874878,-13.80265999
Blackwood Reef,14-031,144.22192383,-14.21750355
Denham Reef,14-032,144.26789856,-14.2218523
Rocky Islets Reef (North),14-033a,144.34783936,-14.25623035
Rocky Islets Reef (South),14-033b,144.35614014,-14.27101898
U/N Reef,14-034,144.74775696,-14.06616116
U/N Reef,14-035,144.66711426,-14.0890255
Pipon Shoals,14-036,144.53530884,-14.09478951
Melanie Patches,14-037,144.57701111,-14.10134888
Murdoch Reef,14-104,144.93525696,-14.61428642
U/N Reef,14-105,144.92219543,-14.63728428
Rocky Ledges,14-106,144.95262146,-14.68451023
U/N Reef,14-107a,144.9936676,-14.71187115
U/N Reef,14-107b,144.98652649,-14.71438885
U/N Reef,14-108,144.95266724,-14.71846771
Fly Reef,14-109,145.15846252,-14.50730419
Underwood Shoal,14-110,145.4662323,-14.59091663
Covered Reef,14-111,145.1781311,-14.66032028
Stewart Shoal,14-112,145.46826172,-14.61452484
Pasco Reef,15-018,145.53305054,-15.04456997
Long Reef,15-019,145.57000732,-15.05088806
Strickland Reef,15-020,145.51753235,-15.07336807
Ribbon No 8 Reef,15-021a,145.72372437,-15.07281303
U/N Reef,15-021b,145.70516968,-15.07479286
U/N Reef,15-022,145.63641357,-15.0979948
U/N Reef,15-023,145.67022705,-15.09437656
Magpie Reef,13-087,143.8379364,-13.75963593
Lytton Reef,13-088,143.90577698,-13.74318218
U/N Reef,13-089,143.94772339,-13.75630569
Holdsworth Rock,13-090,143.60864258,-13.76581383
Wilkie Reef,13-091,143.64048767,-13.77140236
Pipon Reef,14-038,144.52462769,-14.12029743
North Warden Reef,14-039,144.64640808,-14.16754627
Singleton Patch,14-040,144.60075378,-14.15975761
Wedge Rocks Reef,14-041,144.52165222,-14.16741085
Wedge Rocks (North),14-041a,144.521698,-14.16625118
Wedge Rocks (South),14-041b,144.52381897,-14.16862392
Petricola Shoal,14-113,145.48031616,-14.63325691
U/N Cay,14-114,145.48857117,-14.64830971
MacGillivray Reef,14-114,145.49102783,-14.6519022
Nymph Reef,14-115,145.25215149,-14.65499687
Mackay Reefs,15-024,145.57130432,-15.13893986
U/N Cay,15-025,145.68942261,-15.13771343
Harrier Reef,15-025,145.69720459,-15.13665295
Ribbon No 7 Reef,15-026,145.7383728,-15.18930244
Marx Reef,15-027,145.62117004,-15.19776058
U/N Reef,13-092,143.54418945,-13.77156544
U/N Reef,13-093a,143.93009949,-13.82892609
U/N Reef,13-093b,143.96170044,-13.76087666
U/N Reef,13-093c,143.97944641,-13.76837921
Helby Rock,13-094,143.69288635,-13.79929256
Sullivan Shoal,13-095,143.68710327,-13.84641743
Ballerina Shoal,13-096,143.77804565,-13.84458733
Flinders Island Reef (No 1),14-042a,144.27885437,-14.17367458
Flinders Island Reef (No 2),14-042b,144.25515747,-14.194561
Flinders Island Reef (No 3),14-042c,144.24424744,-14.17051411
U/N Reef,14-043,144.79969788,-14.17776299
Hales Reef,14-044,144.53822327,-14.18373394
Sand Bank No 1,14-045,144.88313293,-14.19828224
Sand Bank No 1 Reef,14-045,144.89193726,-14.20033455
U/N Reef,14-046,144.85264587,-14.20498943
Lizard Island Reef (North West),14-116a,145.44694519,-14.65856457
Lizard Island Reef (North East),14-116b,145.46611023,-14.65501785
Lizard Island Reef (Lagoon),14-116d,145.44981384,-14.68557739
Startle Reefs,15-028,145.55651855,-15.20737457
Camel Head Reef,15-029,145.72250366,-15.24113178
U/N Cay,15-030,145.53367615,-15.24351311
Swinger Reef,15-030,145.53718567,-15.24224567
Pullen Reefs,15-031,145.58721924,-15.25070858
Ribbon No 6 Reef,15-032,145.75184631,-15.28094673
Hannah Island Reef,13-097,143.71783447,-13.86518288
Dayman Rock,13-098,143.75028992,-13.87088871
Olver Rock,13-099,143.73625183,-13.88050652
U/N Reef,13-100,143.93701172,-13.86664867
Rattlesnake Reefs (No 1),13-101a,143.63835144,-13.87374783
Rattlesnake Reefs (No 2),13-101b,143.64442444,-13.88198185
Rattlesnake Reefs (No 3),13-101c,143.6557312,-13.90091991
U/N Reef,13-102,143.60203552,-13.88528919
Yule Rock,13-103,143.7567749,-13.89843369
U/N Cay,13-104,143.88952637,-13.90745735
Kestrel Reef,13-104,143.89254761,-13.90420246
U/N Reef,13-105,143.6787262,-13.91607857
U/N Reef,14-047,144.92831421,-14.21223068
Broomfield Rock Reef,14-048,144.6701355,-14.20374966
Broomfield Rock,14-048,144.65132141,-14.21898365
U/N Reef,14-049,144.95835876,-14.22637463
Rocky Point Island Reef,14-050,144.57673645,-14.23252583
Lizard Island Reef (Coconut Bay),14-116c,145.47232056,-14.68106556
Gunga Shoal,14-117,145.19998169,-14.66886806
Dent Reef (No 1),20-058a,148.93582153,-20.34912682
Dent Reef (No 2),20-058b,148.92732239,-20.34967041
U/N Reef,20-059,148.96272278,-20.37173462
Long Island Reef (No 1),20-060a,148.84838867,-20.3289814
Haslewood Island Reef (No 4),20-078d,149.08230591,-20.30060959
Haslewood Island Reef (No 5),20-078e,149.09898376,-20.28015709
U/N Reef,20-016a,148.53674316,-20.08592987
Black Currant-Manta Ray Reef (No 1),20-010a,148.50799561,-20.08583832
Whitsunday Island Reef (No 11),20-041l,148.92951965,-20.29818916
Whitsunday Island Reef (No 12),20-041m,148.92089844,-20.29049301
Long Island Reef (No 2),20-060b,148.84709167,-20.34325027
Long Island Reef (No 3),20-060c,148.84806824,-20.36315346
Lupton Reef,20-078f,149.11209106,-20.27614784
Cashell Reef,20-078g,149.10540771,-20.26360321
Black Island Reef,20-017,148.89268494,-20.08108711
Double Rock Reef,20-018,148.97502136,-20.07186508
Double Rock (North),20-018a,148.97494507,-20.07175255
Double Rock (South),20-018b,148.97517395,-20.07194519
Langford-Bird Reef,20-019,148.87759399,-20.0883007
Whitsunday Island Reef (No 13),20-041n,148.92488098,-20.27789116
Whitsunday Island Reef (No 14),20-041o,148.95228577,-20.24401665
Whitsunday Island Reef (No 15),20-041p,148.94543457,-20.22443008
Long Island Reef (No 4),20-060d,148.85096741,-20.37420464
Long Island Reef (No 5),20-060e,148.86151123,-20.39131165
Long Island Reef (No 6),20-060f,148.85844421,-20.35241699
Haslewood Island Reef (No 6),20-078h,149.08831787,-20.30246353
Workington Reef,20-079,149.1194458,-20.26964378
Gumbrell Reef,20-020,148.60772705,-20.10022926
Whitsunday Island Reef (No 16),20-041q,148.95184326,-20.21712685
Whitsunday Island Reef (No 17),20-041r,148.95773315,-20.17952156
Whitsunday Island Reef (No 18),20-041t,148.95925903,-20.15612793
Whitsunday Island Reef (No 19),20-041u,148.96846008,-20.32762146
Whitsunday Island Reef (No 20),20-041v,148.98083496,-20.32308197
Long Island Reef (No 7),20-060g,148.87409973,-20.38865471
Long Island Reef (No 8),20-060h,148.85568237,-20.32502365
Leeper Shoal,20-080,149.08911133,-20.14084625
Nicolson Reef,20-081,149.0941925,-20.30509949
Olden Reef,20-021,148.57221985,-20.10396576
Armit Island Reef,20-022,148.65237427,-20.10769844
Whitsunday Island Reef (No 21),20-041w,148.99162292,-20.30598831
Whitsunday Island Reef (No 22),20-041x,149.00630188,-20.3098774
Whitsunday Island Reef (No 23),20-041y,149.0144043,-20.31586456
Whitsunday Island Reef (No 24),20-041z,149.03237915,-20.30604362
Pine Island Reef,20-061,148.8863678,-20.37526894
U/N Reef,19-267,149.99662781,-19.72412109
U/N Reef,19-268,150.04212952,-19.71613884
U/N Reef,19-269,150.09863281,-19.74240112
U/N Reef,19-270,150.16825867,-19.85525322
U/N Reef,19-271,150.16941833,-19.91014099
U/N Reef,19-272,150.1882019,-19.88889313
U/N Reef,19-273,150.22874451,-19.89331818
U/N Reef,19-274,150.2454834,-19.91080284
U/N Reef,19-275,150.39424133,-19.92307472
U/N Reef,19-276,148.22467041,-19.23618126
U/N Reef,19-277,148.24137878,-19.23273087
U/N Reef,19-278,148.25846863,-19.11724091
U/N Reef,20-023,148.66426086,-20.10923576
Fitzalan Island Reef,20-041,148.95960999,-20.33107758
U/N Rock,20-042,148.8419342,-20.26009369
South Molle Reef (No 1),20-042a,148.8409729,-20.27581787
South Molle Reef (No 2),20-042b,148.82739258,-20.27772713
U/N Reef,20-062a,148.82901001,-20.3862896
U/N Reef,20-062b,148.83329773,-20.36952591
Three Fathom Patch,20-063,148.86070251,-20.4138813
U/N Reef,19-279,148.54258728,-19.09532166
U/N Reef,19-280,148.59463501,-19.38027191
U/N Reef,19-281,148.59526062,-19.32294655
U/N Reef,19-282,148.60717773,-19.33229446
U/N Reef,19-283,148.6502533,-19.07159805
U/N Reef,19-284,148.6796875,-19.17266464
U/N Reef,19-285,148.74339294,-19.37219048
U/N Reef,19-286,148.74705505,-19.29636383
U/N Reef,19-287,148.76011658,-19.36961555
U/N Reef,19-288,148.96266174,-19.28400993
U/N Reef,19-289,149.02191162,-19.30819321
U/N Reef,19-290,149.02888489,-19.52679634
Double Cone Reef,20-024,148.71392822,-20.10733986
South Molle Reef (No 3),20-042c,148.83091736,-20.26343346
South Molle Reef (No 4),20-042d,148.84086609,-20.26076698
Planton Reef,20-043,148.85121155,-20.26683617
U/N Rock,20-043,148.85258484,-20.2702961
Cow Reef,20-064,148.84179688,-20.42320824
U/N Reef,19-291,149.0328064,-19.11525345
U/N Reef,19-292,149.11074829,-19.13601875
U/N Reef,19-293,149.11714172,-19.25987434
U/N Reef,19-294,149.14749146,-19.30397797
U/N Reef,19-295,149.16609192,-19.24489212
U/N Reef,19-296,149.17271423,-19.62364578
U/N Reef,19-297,149.20150757,-19.51189041
U/N Reef,19-298,149.20292664,-19.52073669
U/N Reef,19-299,149.21437073,-19.27701759
U/N Reef,19-300,149.21844482,-19.32469749
U/N Reef,20-025a,148.55796814,-20.11190605
U/N Reef,20-025b,148.56880188,-20.12872887
Edwin Reef,20-026,148.61210632,-20.12642479
Edwin Rock,20-026,148.61239624,-20.1259594
Denman Reef,20-044,148.84886169,-20.28226471
Almora Reef,20-045,148.7699585,-20.2343483
Calf Reef (No 1),20-065a,148.84413147,-20.42871666
Calf Reef (No 2),20-065b,148.85012817,-20.42609596
Calf Reef (No 3),20-065c,148.85063171,-20.42651367
Long Shoal,20-066,148.93826294,-20.48897934
Border Island Reef (No 1),20-067a,149.02896118,-20.16838264
U/N Rock,20-067a,149.04025269,-20.169487
U/N Reef,19-301,149.22909546,-19.28629875
U/N Reef,19-302,149.23916626,-19.54565048
U/N Reef,19-303,149.24130249,-19.56520462
U/N Reef,19-304,149.24501038,-19.53996468
