GBR_NAME,LABEL_ID,X_COORD,Y_COORD
U/N Reef,10-408,143.65881348,-10.85639668
U/N Reef,10-409,143.71118164,-10.85936832
U/N Reef,10-410,143.79341125,-10.86957836
U/N Reef,10-411,143.47001648,-10.80509758
U/N Reef,10-411b,143.58657837,-10.8515749
U/N Reef,10-412,144.01409912,-10.88740253
U/N Reef,10-413,143.55236816,-10.89570427
U/N Reef,10-414,144.01809692,-10.92669582
U/N Reef,10-415,143.57276917,-10.91156006
U/N Reef,10-416a,144.01524353,-10.96391392
U/N Reef,10-416b,144.03215027,-10.96593094
U/N Reef,10-417,143.46723938,-10.88192558
U/N Reef,10-418a,144.03520203,-10.9968214
U/N Reef,10-418b,144.0181427,-10.98606586
U/N Reef,10-419a,144.01290894,-11.00776577
U/N Reef,10-419b,144.01309204,-11.01794815
U/N Reef,10-420,143.99504089,-11.01778316
U/N Reef,10-421,143.36489868,-10.99041271
U/N Reef,10-422,143.29489136,-10.98697853
U/N Reef,10-423,143.66320801,-10.90422535
U/N Reef,10-424,143.75733948,-10.89969254
U/N Reef,10-425,143.53411865,-10.91361904
U/N Reef,11-034,143.09963989,-11.17448425
Arnold Reef,11-001,142.99273682,-11.00683498
Thomson Islet Reef,11-002,142.75546265,-11.02495193
U/N Reef,11-003,142.7832489,-11.0704155
Gilmore Bank,11-004,142.83700562,-11.15866852
U/N Reef,11-005,142.81132507,-11.18551826
U/N Reef,11-006,142.81231689,-11.19433308
U/N Reef,11-007,142.82400513,-11.23168468
U/N Reef,11-008,142.81898499,-11.24888897
Bushy Island Reef,11-009,142.87251282,-11.2572403
U/N Island,11-009a,142.87362671,-11.25265408
U/N Island,11-009b,142.87640381,-11.2518301
Cairncross Islets Reef,11-010,142.92893982,-11.24986839
U/N Reef,11-011a,142.82872009,-11.29018688
U/N Reef,11-011b,142.83093262,-11.29393196
U/N Reef,11-012,142.86547852,-11.37253571
Halfway Islet Reef,11-013,142.96537781,-11.3848238
Pearn Reef,11-014,142.93530273,-11.43494606
U/N Reef,11-015,142.84120178,-11.42433834
McSweeney Reef,11-016,143.24269104,-11.02305126
U/N Reef,11-017,143.33352661,-11.02789688
U/N Reef,11-018,143.35643005,-11.0323143
U/N Reef,11-019,143.47373962,-11.02850151
U/N Reef,11-020,143.3795166,-11.03877735
U/N Reef,11-021,143.37095642,-11.05878925
U/N Reef,11-022,143.46763611,-11.04762936
U/N Reef,11-023,143.40223694,-11.07457256
U/N Reef,11-024,143.31980896,-11.07910061
U/N Reef,11-025,143.09083557,-11.06997013
Sinclair Reef,11-026,143.02845764,-11.11662197
U/N Reef,11-027,143.00056458,-11.12924671
U/N Reef,11-028,143.49406433,-11.10666275
U/N Cay,11-029,143.25598145,-11.12828636
Monsoon Reef,11-029,143.25291443,-11.12877846
U/N Reef,11-030,143.44126892,-11.1438036
U/N Reef,11-031,143.22291565,-11.1421051
U/N Reef,11-032,143.42150879,-11.1607399
U/N Reef,11-033a,143.39331055,-11.184021
U/N Reef,11-033b,143.39369202,-11.20446301
U/N Cay,11-034,143.10214233,-11.16423702
Turning Point Patches (No 2),11-048b,143.54580688,-11.36818123
U/N Reef,11-049,143.33546448,-11.36095428
U/N Reef,11-050,143.16064453,-11.37728596
U/N Reef,11-051,143.07316589,-11.37047768
Cholmondeley Reef,11-052,143.07014465,-11.38962555
Jardine Reef,11-053,143.03533936,-11.38516045
U/N Reef,11-054,143.16517639,-11.43404198
Wallace Islet Reef,11-055,143.04203796,-11.45389843
Milman-Aplin Reef,11-035,143.03083801,-11.18211842
Parsons Reef,11-036,143.1975708,-11.18444061
Collette Reef,11-037,143.31806946,-11.21540451
Douglas Islet Reef,11-038,143.00071716,-11.2432394
U/N Reef,11-039,143.25714111,-11.24144936
U/N Reef,11-040,143.14968872,-11.27138233
U/N Reef,11-041a,143.03419495,-11.28863144
U/N Reef,11-041b,143.04618835,-11.28736115
U/N Reef,11-042,143.1962738,-11.29498386
Onslow Reef,11-043,143.28129578,-11.29741383
Wilds Shoal,11-044,143.36935425,-11.27690411
U/N Reef,11-045,143.48519897,-11.27064514
U/N Reef,11-046,143.126297,-11.31913948
U/N Reef,11-047,143.1277771,-11.34162426
Turning Point Patches (No 1),11-048a,143.40556335,-11.32917881
U/N Reef,11-071,143.54277039,-11.25432873
U/N Reef,11-072,143.9954834,-11.28264427
U/N Reef,11-073,144.00578308,-11.28243065
U/N Reef,11-074,143.99632263,-11.29488564
U/N Reef,11-075,143.97923279,-11.29531193
U/N Reef,11-076,143.98078918,-11.30926514
U/N Reef,11-056a,143.40122986,-11.50461769
U/N Reef,11-056b,143.27011108,-11.46175861
U/N Reef,11-056c,143.30992126,-11.39694595
U/N Reef,11-056d,143.37800598,-11.46033001
Cochin Reef,11-057,143.43885803,-11.4305315
Boydong Cays (No 1),11-058,143.11889648,-11.45972157
Parkinson Reef,11-058,143.12471008,-11.46813583
Monkman Reef,11-059,143.15672302,-11.4719553
Boydong Cays (No 2),11-060,143.06773376,-11.47341347
U/N Reef,11-060,143.07514954,-11.48204327
Little Boydong Reef,11-061,143.04064941,-11.48878002
Boydong Island Reef,11-062,143.02876282,-11.4979887
U/N Reef,11-063a,143.49919128,-10.97768879
U/N Reef,11-063b,143.58938599,-11.01596832
U/N Reef,11-064,143.6618042,-11.09492207
U/N Reef,11-065,143.58425903,-11.15118408
U/N Reef,11-066,143.69465637,-11.15713024
U/N Reef,11-067,143.53479004,-11.14823914
U/N Reef,11-068,143.58891296,-11.20730495
U/N Reef,11-069,143.71478271,-11.19242096
Maclennan Cay,11-070,143.81129456,-11.32068348
Maclennan Reef (No 1),11-070a,143.79820251,-11.31483746
Maclennan Reef (No 2),11-070b,143.67514038,-11.25258923
Maclennan Reef (No 3),11-070c,143.81921387,-11.25566387
Indefatigable Reef,11-103,143.6365509,-11.47353363
U/N Reef,11-104,143.70748901,-11.46648026
U/N Reef,11-105,143.92843628,-11.47588158
U/N Reef,11-107,144.01792908,-11.47539711
U/N Reef,11-108,143.90093994,-11.47789001
U/N Reef,11-109a,143.92416382,-11.49207115
U/N Reef,11-109b,143.94561768,-11.48265171
U/N Reef,11-110,143.85812378,-11.48993874
U/N Reef,11-111,143.53808594,-11.49915504
U/N Reef,11-112,143.99794006,-11.0306673
U/N Reef,11-113,144.01731873,-11.03934193
U/N Reef,11-114,144.02238464,-11.04900837
U/N Reef,11-115,144.03355408,-11.05487251
U/N Reef,11-116,144.04071045,-11.06919193
U/N Reef,11-117,144.04400635,-11.10342503
U/N Reef,11-118a,144.03330994,-11.13163185
U/N Reef,11-118b,144.02575684,-11.14067173
U/N Reef,11-119,144.05844116,-11.14598274
U/N Reef,11-077,143.9624176,-11.32235336
U/N Reef,11-078,143.98179626,-11.32816887
U/N Reef,11-079,143.50567627,-11.30826569
U/N Reef,11-080,143.67254639,-11.30496693
U/N Reef,11-081,143.95658875,-11.34822178
U/N Reef,11-082,143.95201111,-11.3558569
U/N Reef,11-083,143.96405029,-11.36100101
U/N Reef,11-084,143.97657776,-11.36436653
U/N Reef,11-085,143.95170593,-11.36373138
U/N Reef,11-087a,143.94441223,-11.37235832
U/N Reef,11-087b,143.95904541,-11.37150669
U/N Reef,11-088,143.9599762,-11.38324833
U/N Reef,11-089a,143.9783783,-11.39129829
U/N Reef,11-089b,143.95849609,-11.39221954
U/N Reef,11-090,143.5897522,-11.33642387
U/N Reef,11-091,143.96368408,-11.4024229
U/N Reef,11-092,143.71549988,-11.37110806
U/N Cay,11-093,143.78086853,-11.4038372
U/N Reef,11-093,143.76898193,-11.40065575
U/N Reef,11-094,143.9649353,-11.41164684
U/N Reef,11-095,143.96955872,-11.41603661
U/N Reef,11-096,143.97505188,-11.42115688
U/N Reef,11-097,143.97415161,-11.42740726
Risk Reef,11-098,143.76768494,-11.42281246
U/N Reef,11-099,143.5422821,-11.42419815
Shadwell Reef,11-100,143.7689209,-11.45784378
U/N Reef,11-101,143.51196289,-11.46584606
U/N Reef,11-102,143.96772766,-11.46307278
U/N Reef,11-157,143.51637268,-11.55274868
U/N Reef,11-158,143.23187256,-11.58026981
U/N Reef,11-120,144.06002808,-11.18517208
U/N Reef,11-121,144.04362488,-11.19242764
U/N Reef,11-122,144.04663086,-11.20068359
U/N Reef,11-123,144.05099487,-11.20973969
U/N Reef,11-124,144.05621338,-11.21752453
Stark Reef,11-125,144.06565857,-11.26131248
U/N Reef,11-126a,144.01251221,-11.26356697
U/N Reef,11-126b,144.01832581,-11.26926422
U/N Reef,11-127a,144.02409363,-11.2616024
U/N Reef,11-127b,144.02641296,-11.27613068
U/N Reef,11-128,144.03422546,-11.27928543
U/N Reef,11-129,144.04411316,-11.27628613
Moulter Cay,11-130,144.02050781,-11.40949726
Moulter Reef,11-130,144.03823853,-11.42467117
Saunders Reef,11-131,144.06993103,-11.49401855
Hunter Reefs,11-132,142.8727417,-11.51218605
U/N Reef,11-133,142.84375,-11.56365871
Pirie Reef,11-134,142.89834595,-11.59038353
U/N Reef,11-135,142.85691833,-11.62756252
Hannibal Islands Reef,11-136,142.93969727,-11.59758282
U/N Reef,11-137,142.90745544,-11.65137577
MacArthur Islands Reef,11-138,142.98638916,-11.73176193
U/N Reef,11-139,142.97335815,-11.75949955
U/N Cay,11-139a,142.97650146,-11.75011539
U/N Cay,11-139b,142.98387146,-11.76447964
U/N Cay,11-139c,142.96214294,-11.7515583
U/N Cay,11-139d,142.97128296,-11.74990559
U/N Reef,11-140,142.89595032,-11.76236153
U/N Reef,11-141,142.91564941,-11.76965237
U/N Reef,11-142,142.93643188,-11.77186203
U/N Cay,11-142a,142.92570496,-11.76331139
U/N Cay,11-142b,142.9342804,-11.76779842
U/N Reef,11-143,142.95544434,-11.77073002
U/N Cay,11-144,142.87867737,-11.78054237
U/N Reef,11-144,142.87834167,-11.78083801
U/N Cay,11-145,142.85752869,-11.8002243
U/N Reef,11-145,142.85627747,-11.79974651
Nigger Head,11-146,142.93690491,-11.79533863
Nigger Head Reef,11-146,142.9365387,-11.79674053
U/N Reef,11-147,142.90016174,-11.80533791
U/N Reef,11-148,142.89602661,-11.82666588
U/N Reef,11-149,142.87564087,-11.84887314
U/N Reef,11-150,142.9387207,-11.84314537
U/N Reef,11-151,142.99359131,-11.86193657
U/N Cay,11-152,142.90908813,-11.86497021
U/N Reef,11-152,142.91256714,-11.87988281
U/N Reef,11-153,142.97039795,-11.88442802
Boydong Cays (No 4),11-154,143.07382202,-11.50895882
U/N Reef,11-154,143.08181763,-11.51834106
Boydong Cays (No 3),11-155,143.13317871,-11.49851036
U/N Reef,11-155,143.17790222,-11.53164673
