142.59,-10.779
142.71,-10.797
142.57,-10.824
142.58,-10.835
142.69,-10.82
142.72,-10.821
142.76,-10.821
142.93,-10.808
142.98,-10.8
142.69,-10.887
142.7,-10.89
142.77,-10.901
142.63,-10.921
143.09,-10.775
142.56,-10.71
142.6,-10.704
142.6,-10.709
142.59,-10.715
142.62,-10.728
142.62,-10.747
142.6,-10.739
142.62,-10.724
142.63,-10.719
142.67,-10.701
142.69,-10.712
142.69,-10.717
142.74,-10.68
142.79,-10.683
142.73,-10.705
142.61,-10.758
142.63,-10.771
143.8,-10.803
144.01,-10.805
144,-10.824
143.82,-10.825
143.76,-10.846
144.01,-10.845
143.98,-10.866
142.71,-10.937
142.71,-10.948
142.77,-10.99
143.25,-10.684
143.43,-10.697
143.47,-10.697
143.19,-10.732
143.34,-10.735
143.09,-10.752
143.37,-10.752
143.32,-10.757
143.41,-10.776
143.35,-10.806
143.34,-10.838
143.46,-10.941
143.3,-10.839
143.4,-10.849
143.24,-10.853
143.24,-10.895
143.21,-10.898
143.18,-10.907
143.29,-10.904
143.38,-10.905
143.31,-10.915
143.3,-10.932
143.22,-10.932
143.24,-10.947
143.16,-10.95
143.13,-10.952
143.36,-10.939
143.4,-10.964
143.43,-10.968
143.13,-10.987
143.51,-10.906
143.96,-10.688
143.79,-10.703
143.96,-10.71
143.96,-10.725
143.98,-10.723
143.52,-10.693
143.96,-10.734
143.97,-10.74
143.98,-10.755
143.61,-10.742
143.74,-10.742
143.51,-10.77
143.69,-10.789
143.72,-10.77
143.84,-10.767
143.98,-10.778
143.99,-10.786
143.99,-10.794
144.01,-10.951
143.51,-10.945
144,-10.836
144.01,-10.83
142.57,-10.722
142.58,-10.73
142.58,-10.799
142.55,-10.832
142.6,-10.757
143.38,-10.84
143.45,-10.898
143.55,-10.931
143.63,-10.976
143.71,-10.942
143.77,-11.013
143.78,-10.984
143.96,-10.742
144,-10.935
144.03,-10.913
142.74,-10.811
142.75,-10.993
143.95,-10.685
143.99,-10.86
143.66,-10.856
143.71,-10.859
143.79,-10.87
143.47,-10.805
143.59,-10.852
144.01,-10.887
143.55,-10.896
144.02,-10.927
143.57,-10.912
144.02,-10.964
144.03,-10.966
143.47,-10.882
144.04,-10.997
144.02,-10.986
144.01,-11.008
144.01,-11.018
144,-11.018
143.36,-10.99
143.29,-10.987
143.66,-10.904
143.76,-10.9
143.53,-10.914
143.1,-11.174
142.99,-11.007
142.76,-11.025
142.78,-11.07
142.84,-11.159
142.81,-11.186
142.81,-11.194
142.82,-11.232
142.82,-11.249
142.87,-11.257
142.93,-11.25
142.83,-11.29
142.83,-11.294
142.87,-11.373
142.97,-11.385
142.94,-11.435
142.84,-11.424
143.24,-11.023
143.33,-11.028
143.36,-11.032
143.47,-11.028
143.38,-11.039
143.37,-11.059
143.47,-11.048
143.4,-11.075
143.32,-11.079
143.09,-11.07
143.03,-11.117
143,-11.129
143.49,-11.107
143.25,-11.129
143.44,-11.144
143.22,-11.142
143.42,-11.161
143.39,-11.184
143.39,-11.204
143.55,-11.368
143.34,-11.361
143.16,-11.377
143.07,-11.37
143.07,-11.39
143.04,-11.385
143.17,-11.434
143.04,-11.454
143.03,-11.182
143.2,-11.184
143.32,-11.215
143,-11.243
143.26,-11.241
143.15,-11.271
143.03,-11.289
143.05,-11.287
143.2,-11.295
143.28,-11.297
143.37,-11.277
143.49,-11.271
143.13,-11.319
143.13,-11.342
143.41,-11.329
143.54,-11.254
144,-11.283
144.01,-11.282
144,-11.295
143.98,-11.295
143.98,-11.309
143.4,-11.505
143.27,-11.462
143.31,-11.397
143.38,-11.46
143.44,-11.431
143.12,-11.468
143.16,-11.472
143.08,-11.482
143.04,-11.489
143.03,-11.498
143.5,-10.978
143.59,-11.016
143.66,-11.095
143.58,-11.151
143.69,-11.157
143.53,-11.148
143.59,-11.207
143.71,-11.192
143.8,-11.315
143.68,-11.253
143.82,-11.256
143.64,-11.474
143.71,-11.466
143.93,-11.476
144.02,-11.475
143.9,-11.478
143.92,-11.492
143.95,-11.483
143.86,-11.49
143.54,-11.499
144,-11.031
144.02,-11.039
144.02,-11.049
144.03,-11.055
144.04,-11.069
144.04,-11.103
144.03,-11.132
144.03,-11.141
144.06,-11.146
143.96,-11.322
143.98,-11.328
143.51,-11.308
143.67,-11.305
143.96,-11.348
143.95,-11.356
143.96,-11.361
143.98,-11.364
143.95,-11.364
143.94,-11.372
143.96,-11.371
143.96,-11.383
143.98,-11.391
143.96,-11.392
143.59,-11.336
143.96,-11.402
143.72,-11.371
143.77,-11.401
143.96,-11.412
143.97,-11.416
143.98,-11.421
143.97,-11.427
143.77,-11.423
143.54,-11.424
143.77,-11.458
143.51,-11.466
143.97,-11.463
143.52,-11.553
